date,open,close,high,low,volume,code
2016-03-09,127.28,127.17,127.8,126.0,23212.0,110030
2016-03-10,128.8,125.66,128.8,125.54,30385.0,110030
2016-03-11,125.7,124.67,126.39,124.25,28213.0,110030
2016-03-14,125.18,126.27,127.8,125.18,55502.0,110030
2016-03-15,126.5,125.95,126.5,125.67,16399.0,110030
2016-03-16,126.2,126.11,126.75,125.57,33723.0,110030
2016-03-17,126.47,127.98,128.0,126.2,32700.0,110030
2016-03-18,128.0,131.39,131.52,128.0,57153.0,110030
2016-03-21,132.01,130.39,134.0,130.2,33583.0,110030
2016-03-22,130.5,128.22,130.5,128.01,35988.0,110030
2016-03-23,128.02,128.17,128.8,127.5,16788.0,110030
2016-03-24,127.24,126.61,128.15,126.5,57764.0,110030
2016-03-25,126.79,126.7,127.27,126.3,40176.0,110030
2016-03-28,127.0,124.57,127.24,124.54,50293.0,110030
2016-03-29,124.5,123.15,124.84,122.82,24378.0,110030
2016-03-30,123.8,123.02,124.2,121.56,79810.0,110030
2016-03-31,123.06,122.97,123.49,122.8,23616.0,110030
2016-04-01,122.94,124.0,124.15,122.94,26374.0,110030
2016-04-05,123.83,127.13,127.23,123.77,33485.0,110030
2016-04-06,127.2,126.46,128.16,126.14,29281.0,110030
2016-04-07,126.94,125.72,126.99,125.5,9016.0,110030
2016-04-08,125.72,124.42,125.73,124.0,12377.0,110030
2016-04-11,125.7,125.47,126.38,124.5,14016.0,110030
2016-04-12,126.0,124.99,126.09,124.25,23493.0,110030
2016-04-13,125.0,126.3,127.05,125.0,49719.0,110030
2016-04-14,126.7,125.75,126.99,125.3,15932.0,110030
2016-04-15,125.75,126.3,126.55,124.8,29140.0,110030
2016-04-18,126.58,125.31,127.14,125.2,16636.0,110030
2016-04-19,134.0,129.67,136.43,128.55,275122.0,110030
2016-04-20,129.5,126.13,129.75,124.63,225997.0,110030
2016-04-21,125.63,125.3,126.0,125.1,35348.0,110030
2016-04-22,125.1,125.14,125.85,124.97,17955.0,110030
2016-04-25,125.37,122.72,125.37,122.7,27605.0,110030
2016-04-26,122.63,122.73,123.4,122.61,19587.0,110030
2016-04-27,122.83,123.39,124.1,122.83,21943.0,110030
2016-04-28,123.35,123.41,123.6,123.01,9770.0,110030
2016-04-29,123.43,123.37,123.49,123.05,5601.0,110030
2016-05-03,123.32,123.76,124.06,123.05,7499.0,110030
2016-05-04,123.66,123.75,124.0,123.65,4086.0,110030
2016-05-05,123.75,125.0,125.13,123.67,10312.0,110030
2016-05-06,125.0,124.27,125.87,123.91,10488.0,110030
2016-05-09,123.58,121.44,124.06,121.2,33053.0,110030
2016-05-10,120.65,120.11,121.98,120.0,20207.0,110030
2016-05-11,120.31,120.38,120.87,120.08,6747.0,110030
2016-05-12,120.1,120.24,120.46,119.68,16625.0,110030
2016-05-13,120.71,120.04,120.71,120.0,2869.0,110030
2016-05-16,120.34,120.24,120.34,119.5,5142.0,110030
2016-05-17,120.2,120.51,121.27,119.5,19100.0,110030
2016-05-18,120.41,119.5,120.41,119.25,4939.0,110030
2016-05-19,119.72,119.07,120.24,119.0,2774.0,110030
2016-05-20,119.07,119.36,119.5,119.0,1975.0,110030
2016-05-23,119.36,119.53,119.9,118.63,6589.0,110030
2016-05-24,119.53,119.03,119.53,119.0,6499.0,110030
2016-05-25,119.05,118.34,119.39,118.31,2661.0,110030
2016-05-26,118.74,117.97,119.28,117.5,10178.0,110030
2016-05-27,117.88,117.25,118.4,116.7,9508.0,110030
2016-05-30,117.15,117.06,117.44,116.6,1940.0,110030
2016-05-31,117.06,117.9,117.93,117.02,11761.0,110030
2016-06-01,117.9,117.91,118.36,117.85,8129.0,110030
2016-06-02,117.81,118.01,118.2,117.81,3013.0,110030
2016-06-03,117.65,118.02,118.08,117.5,2509.0,110030
2016-06-06,118.02,117.93,118.38,117.8,1090.0,110030
2016-06-07,117.93,116.73,117.96,116.55,3156.0,110030
2016-06-08,116.5,116.56,116.73,116.26,1324.0,110030
2016-06-13,116.3,115.74,116.41,115.7,1457.0,110030
2016-06-14,115.99,115.55,115.99,115.35,1198.0,110030
2016-06-15,115.45,115.54,115.94,115.11,3866.0,110030
2016-06-16,115.6,115.3,115.7,115.29,2278.0,110030
2016-06-17,115.41,115.13,115.6,114.93,7782.0,110030
2016-06-20,114.42,114.95,115.43,114.4,4277.0,110030
2016-06-21,115.1,114.77,115.43,114.7,2593.0,110030
2016-06-22,114.43,114.85,114.99,114.43,1177.0,110030
2016-06-23,114.85,115.8,116.45,114.64,26065.0,110030
2016-06-24,115.8,115.6,116.23,114.4,2442.0,110030
2016-06-27,115.93,115.59,115.93,115.03,2473.0,110030
2016-06-28,115.49,115.6,115.6,115.05,2882.0,110030
2016-06-29,115.79,115.69,115.82,115.19,3072.0,110030
2016-06-30,115.87,115.68,115.88,115.48,2232.0,110030
2016-07-01,115.8,115.91,116.23,115.62,4758.0,110030
2016-07-04,115.74,116.74,116.74,115.73,6352.0,110030
2016-07-05,116.22,117.64,117.87,116.22,13754.0,110030
2016-07-06,117.86,118.04,118.65,117.28,28626.0,110030
2016-07-07,118.0,118.0,118.1,116.3,32837.0,110030
2016-07-08,117.62,117.8,117.9,117.12,3336.0,110030
2016-07-11,117.4,117.53,118.0,117.4,573.0,110030
2016-07-12,117.01,117.81,118.19,117.0,4581.0,110030
2016-07-13,117.88,121.87,121.99,117.88,71191.0,110030
2016-07-14,121.83,121.87,122.51,121.0,21374.0,110030
2016-07-15,121.22,121.68,121.9,121.22,3286.0,110030
2016-07-18,122.0,122.31,122.53,121.47,2998.0,110030
2016-07-19,122.0,122.28,122.79,121.56,7241.0,110030
2016-07-20,122.3,122.2,122.84,122.01,3223.0,110030
2016-07-21,121.93,122.83,122.9,121.93,2353.0,110030
2016-07-22,122.95,122.5,123.87,122.5,3120.0,110030
2016-07-25,121.85,122.0,123.09,121.6,9683.0,110030
2016-07-26,122.05,122.64,123.9,122.0,3446.0,110030
2016-07-27,122.52,121.8,123.65,121.0,4069.0,110030
2016-07-28,121.08,120.91,121.58,120.54,2260.0,110030
